AgeGroup,Population,NumberOfMarried,NumberOfDivorced,NumberOfSingle
[40-49],140,31,20,32
[20-39],40,8,8,8
[70-79],14,4,4,2
[55+],98,16,16,24
[55-64],424,80,80,92
[30-34],22324,4411,4173,3662
[35-44],212,31,33,52
[24-29],10,2,2,2
[25-39],23,6,2,6
[20-29],76,20,13,20
[18-19],304,98,38,11
[25-34],72,13,11,16
[16-19],232,50,27,54
[65-74],378,70,74,74
[40-44],22207,4396,4154,3626
[20-24],22358,4446,4155,3698
[25-49],10,2,2,2
[40-54],8,2,2,2
[45-59],22,6,2,6
[0-15],70,12,12,16
[60-74],52,12,12,12
[30-39],223,44,34,46
[45-54],472,83,85,103
[35-39],22229,4401,4157,3631
[25-29],22443,4438,4182,3690
[50-64],22,4,4,4
[50+],77,19,15,18
[70+],642,122,106,142
[75+],14228,2840,2885,2733
[60+],514,106,81,113
[65-79],8,2,2,2
[14-19],41,9,6,9
[15-17],38,8,8,8
[50-59],119,28,18,27
[50-54],18023,3637,3446,3412
[30-44],22,6,2,6
[0-14],30,5,4,10
[0-19],24,4,4,4
[15-29],18,4,2,4
[15-24],52,11,7,14
[12-14],27,5,5,2
[40-59],148,26,26,26
[10-14],11612,2297,2269,2639
[65+],2132,451,322,479
[60-69],224,84,20,22
[45+],10,2,2,3
[10-19],122,22,20,22
[70-74],13821,2760,2799,2651
[60-64],16733,3358,3251,3281
[35-49],4,1,1,1
[15-19],21317,4244,3948,3626
[65-69],14614,2918,2915,2833
[20-34],40,8,8,8
[55-59],17790,3593,3406,3383
[45-49],21842,4321,4093,3551
